game_number,game_type,player_id,year_group,player_name,position,team,team_score,opponent,opponent_score,game_outcome,winner,past_meeting,played_game,starter,two_pt_make,two_pt_miss,three_pt_make,three_pt_miss,ft_make,ft_miss,fg_made,fg_miss,fg_attempts,fg_pct,three_pt_pct,ft_pct,reb,ast,stl,blk,fouls,pts,efficiency,minutes,experience,team_strength
1,Regular Season,1,2026,Benson Kas-Vorsah,Center,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Starter,1.0,2.0,1.0,4.0,3.0,3.0,2.0,6.0,8.0,25,20,50,8.0,1.0,1.0,0.0,1.0,8,13.0,22,,94
1,Regular Season,2,2025,Elton Gamor,Forward,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Starter,7.0,8.0,1.0,0.0,1.0,3.0,8.0,8.0,16.0,50,100,25,10.0,2.0,1.0,0.0,4.0,18,25.0,35,Rookie,94
1,Regular Season,3,2026,Sean Yeboah,Center,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Starter,2.0,2.0,2.0,1.0,6.0,1.0,4.0,3.0,7.0,57.14,66.67,85.71,19.0,2.0,0.0,1.0,2.0,16,42.0,22,,94
1,Regular Season,4,2026,Trueman Mabumbo,Forward,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Starter,2.0,6.0,0.0,3.0,1.0,1.0,2.0,9.0,11.0,18.18,0,50,2.0,2.0,0.0,0.0,3.0,5,-1.0,38,,94
1,Regular Season,5,2027,Alex Yeboah,Guard,Ashknights,59,Longshots,52,Won,Ashknights,,No,Substitute,,,,,,,,,,No shots attempted,No shots attempted,No shots attempted,,,,,,0,,20,,94
1,Regular Season,6,2025,Pascal,Guard,Ashknights,59,Longshots,52,Won,Ashknights,,No,Substitute,,,,,,,,,,No shots attempted,No shots attempted,No shots attempted,,,,,,0,,30,Rookie,94
1,Regular Season,7,2028,Vincent Chanayire,Center,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Substitute,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0,No shots attempted,100,2.0,0.0,0.0,0.0,3.0,2,2.0,29,,94
1,Regular Season,8,2028,Elea Addae-Mensah,Guard,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Substitute,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,No shots attempted,3.0,0.0,0.0,0.0,2.0,0,0.0,29,,94
1,Regular Season,9,2026,Charles Janney,Guard,Ashknights,59,Longshots,52,Won,Ashknights,,No,Substitute,,,,,,,,,,No shots attempted,No shots attempted,No shots attempted,,,,,,0,,28,,94
1,Regular Season,10,2028,Daniel Darko,Forward,Ashknights,59,Longshots,52,Won,Ashknights,,Yes,Starter,5.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,8.0,62.5,No shots attempted,0,4.0,0.0,0.0,0.0,4.0,10,11.0,32,,94
